transcribed	total	nvowels
2810.733	2814.345	3078
2813.321	2826.45	3702
3706.089	3717.926	5885
2777.893	3957.084	3884
2739.913	2758.806	4119
1200.568	2587.36	1471
483.747	492.168	258
904.707	3799.509	859
3197.219	3219.146	3213
2825.828	3219.146	1396
1202.773	3732.191	836
1803.14	4575.861	2565
1201.521	3372.388	1585
4877.946	4889.268	2267
4507.861	4528.324	2477
6987.164	6994.306	5234
6994.295	6994.306	3800
1325.329	1325.34	1343
2621.049	2628.486	3511
4341.369	4362.038	5610
4247.131	4253.016	1560
4241.4	4253.016	4074
3715.226	3725.192	5511
4243.092	4259.815	4503
2747.997	2766.313	3562
2981.42	3000	3833
3637.803	3645.256	4919
4486.837	4505.539	4752
3715.173	3739.732	5837
2470.638	2494.637	2257
1798.669	2400	2099
1817.219	2926.474	2151
3239.538	4947.063	1146
1824.49	1827.132	2561
2960.418	2964.856	4799
2791.453	2794.754	3735
2037.603	2040.57	2788
2660.603	2697.23	2070
2277.038	2314.627	1393
2155.506	2189.549	1187
5707.903	5710.623	5704
1852.388	1852.395	1344
696.413	709.788	661
701.633	709.788	152
1989.382	1990.786	2226
1912.973	1914.81	1840
6661.908	6664.313	4108
6664.301	6664.313	5071
3197.962	3198.409	5764
1801.654	2510.541	2452
1800.963	5105.046	2321
723.343	723.348	820
597.898	1699.546	683
902.565	2566.67	1345
901.588	4571.302	1196
900.608	2227.766	1185
1799.566	2880	1446
1792.063	2880	891
904.051	2860.105	1413
2836.423	2854.372	4127
3258.513	3297.34	2333
3496.405	3517.295	5042
1875.444	3541.156	1747
5896.7	5909.125	7867
3742.328	3755.414	3892
4909.185	4922.932	6385
1794.036	3292.24	1886
1799.668	2557.702	1339
1793.128	3183.805	1255
3248.941	3252.983	2711
1799.589	2988.468	1606
1802.836	2932.158	2670
1775.113	3000	981
3262.776	3274.481	1591
3262.776	3274.481	1258
3137.003	3183.354	2406
3183.202	3183.354	1157
3298.859	3300	1551
3294.664	3300	2101
3279.282	3293.234	2102
3260.772	3293.234	1897
3366.631	3377.634	2493
3355.683	3377.634	1298
6629.479	6649.435	4530
6615.655	6649.435	3298
1803.458	3573.353	2751
1198.958	2936.796	1646
1806.562	3618.865	1141
1198.493	3697.23	502
1202.423	2520	956
2404.83	2870.31	2098
2404.392	2870.31	525
1798.362	2520	961
2851.713	2856.421	5222
5400.504	5787.985	4368
2345.383	2864.089	2874
2857.828	2869.729	1117
2851.37	2869.729	1542
2836.883	2861.217	1730
2841.183	2862.194	942
1200.133	3050.813	673
899.534	3331.054	945
2001.911	3195.426	1445
1201.668	2888.4	884
1200.504	2778.45	1307
1867.218	1919.392	1058
1850.63	1919.392	895
1326.908	1341.524	812
1936.488	1937.617	1876
1532.429	1560	1578
1939.719	1941.118	1263
1925.339	1945.665	1654
1835.102	1837.381	1992
1505.345	1944.952	1398
1937.248	1944.952	443
1199.789	2795.602	1273
1200.723	2723.601	670
2841.274	2880	1289
2804.204	2880	2697
1201.448	2214.384	1681
1218.046	2714.098	1282
1826.267	1835.66	954
900.123	1906.68	1405
897.883	2860	1299
899.66	1920	1060
894.558	1755	1202
887.993	1907.23	1057
1900.593	1921.58	2575
900.334	2023.671	621
899.005	2799.82	1028
899.787	2864.86	778
897.083	2709.06	930
1199.69	1510.877	1358
901.238	1544.57	914
1206.033	2460.886	1542
1200.069	2843.14	1656
1211.051	2843.763	1430
1201.153	1899.63	1405
2373.256	2835.775	1145
2404.157	2835.775	844
953.553	966.183	927
832.043	1509.289	661
1293.983	1359.21	1613
1201.846	2450.412	1910
898.362	908.315	826
1216.442	1217.832	1660
1686.083	1690	721
2731.223	2741.743	3969
5838.771	5851.148	7233
1943.202	1949.429	2794
597.772	2491.577	366
1687.443	1690	546
1200.423	1789.372	1724
2650.576	2683.06	1457
2419.229	2683.06	258
1198.026	2849.195	1680
1262.725	2836.551	1790
1231.073	1237.693	658
1206.423	1237.693	418
1159.527	2660.135	823
1165.653	2660.135	948
1199.397	2829.485	2150
2654.006	2683.06	519
2705.101	2707.256	3631
2821.963	2836.552	2629
2816.509	2843.88	1251
2828.665	2843.88	1854
1925.661	1927.278	1594
1925.051	1927.278	236
2833.425	2850.514	3946
2842.173	2862.915	1541
2814.148	2841.909	3212
1755.353	2836.845	1240
1333.437	1344.542	1094
2827.593	2853.613	3933
1261.513	1272.051	1227
2745.263	2753.128	3898
2793.328	2848.806	1031
2671.223	2700	4372
1883.318	2772.872	1195
1199.723	2839.745	1695
1199.993	2839.39	1226
1201.595	2790.67	1257
2125.122	2134.596	2123
2836.963	2837.871	3700
2299.233	2311.677	3561
2638.654	2653.9	3306
2670.758	2677.021	2899
1389.382	1390	1989
2935.977	2938.672	2073
2618.591	2756.094	2259
1739.018	1758.335	383
2824.618	2846.92	910
1707.547	1758.335	443
1749.589	1758.335	422
2540.598	2720.309	1150
2696.413	2720.309	1755
2646.361	2658.31	1634
2733.78	2840.59	346
2833.401	2840.59	1605
2796.793	2846.92	1009
919.403	1831.603	1140
894.47	2797.499	1263
898.003	1920	728
1202.762	2158.69	1972
1199.302	1814.676	1112
2032.215	2038.031	1201
1740.942	1752.651	144
2016.148	2049.651	980
2130.354	2138.643	1101
1199.108	1800	692
1199.903	1846.013	1594
1197.803	1892.47	1087
1739.703	1752.651	1129
2608.175	2619.384	1909
1200.968	1896.539	1163
1059.157	1352.887	1514
1200.426	2825.155	1406
1432.556	1476.455	914
1391.57	1476.455	160
1205.213	1821.467	1423
687.109	690	437
899.753	1116.697	899
1201.473	2826.97	771
902.288	2847.111	1312
900.883	2880	1165
1199.743	2941.94	780
1210.897	2775.14	1401
929.358	2627.03	937
956.637	2579.242	1033
2725.683	2905.03	536
2820.185	2905.03	936
1201.485	2408.86	1697
839.878	2160	539
1802.262	2666.27	465
1200.407	1948.996	1300
1432.123	2216.536	1540
1299.333	1309.315	1516
1514.791	1672.493	1579
1200.176	1920	1301
1198.053	2834.98	964
1194.898	2649.163	1391
1202.417	2002.944	1895
1198.138	1959.931	989
1199.044	3484.966	1261
1196.398	2435.2	533
902.763	2833.284	1372
906.313	2741.815	1074
933.358	3050.209	1432
898.223	1403.864	1220
897.573	2852.375	551
952.143	965.521	963
918.324	2672.831	1249
941.378	2379.22	975
1194.463	2611.154	1135
1802.063	2801.609	1743
1799.303	2801.609	1060
2624.245	2640	1381
1367.189	2640	803
375.073	2697.301	343
977.843	2697.301	401
901.173	1358.13	1257
1783.993	2844.21	1390
1798.764	2844.21	1258
896.763	2799.129	920
900.78	2826.035	1405
902.227	2861.564	877
1804.304	2837.08	2378
2802.923	2846.16	1314
5509.371	5529.998	1821
5511.711	5529.998	463
9170.103	10477.647	3972
5658.867	5683.48	4870
2811.668	2832.02	2045
1398.002	1962.147	722
1380.132	1962.147	71
2824.573	2849.22	1678
2832.904	2846.099	441
2831.535	2846.099	292
756.978	2846.099	212
2371.583	2849.22	337
2822.043	2849.22	888
2426.228	2460	2483
1801.298	2837.87	1873
1801.768	2844.965	1583
2823.148	2846.16	906
2824.289	2846.16	860
899.929	2280	1053
1206.616	2729.637	1292
1440.316	2849.268	1537
903.338	2640	954
2732.374	2735.407	505
2732.378	2735.407	3206
2822.123	2837.285	5907
2667.466	2693.26	3838
1203.29	2733.414	1628
610.548	620	415
2607.103	2861.16	1508
2603.302	2861.16	1256
2806.858	2821.269	3797
3030.498	3039.715	2939
2208.362	2226.129	1381
